t  n65-n1  n65-n2
  0s  active       standby     
  3s  active       standby     
  6s  active       standby     
  9s  active       active      
 13s  active       active      
 16s  active       active      
 19s  active       active      
 22s  active       active      
 25s  active       active      
 28s  active       active      
 31s  active       active      
 34s  active       active      
 37s  active       active      
 40s  active       active      
 43s  active       active      
 46s  active       active      
 50s  active       active      
 53s  active       active      
 56s  active       active      
 59s  active       active      
 62s  active       active      
 65s  active       active      
 68s  active       active      
 71s  active       active      
 74s  active       active      
