param	value	run	predicted	measured	masters_after	cancel_reason
ha_max_heartbeat_gap	5	1	2.5s	8.9s	2	[Failback] [Cancelled]
ha_max_heartbeat_gap	20	1	10s	8.8s	2	[Failback] [Cancelled]
ha_heartbeat_interval_in_msecs	2000	1	10s	6.9s	2	[Failback] [Cancelled]
ha_calc_score_interval_in_msecs	15000	1	2.5s	12.8s	2	[Failback] [Cancelled]
ha_max_heartbeat_gap	5	2	2.5s	6.9s	2	[Failback] [Cancelled]
ha_max_heartbeat_gap	20	2	10s	8.8s	2	[Failback] [Cancelled]
ha_heartbeat_interval_in_msecs	2000	2	10s	6.9s	2	[Failback] [Cancelled]
ha_calc_score_interval_in_msecs	15000	2	2.5s	18.9s	2	[Failover] [Success]
ha_max_heartbeat_gap	5	3	2.5s	8.8s	2	[Failback] [Cancelled]
ha_max_heartbeat_gap	20	3	10s	7.9s	2	[Failback] [Cancelled]
ha_heartbeat_interval_in_msecs	2000	3	10s	6.9s	2	[Failback] [Cancelled]
ha_calc_score_interval_in_msecs	15000	3	2.5s	17.9s	2	[Failover] [Success]
